Número;Nome;Partido/Coligação;Votos
10000;ANTONIO JUNIOR;PRB - PRB / PSDC;434
10010;CIDINHA;PRB - PRB / PSDC;36
10100;GABRIEL NEGREIROS;PRB - PRB / PSDC;280
10111;JÚNIOR FRANÇA;PRB - PRB / PSDC;568
10123;PROFª MADALENA PEIXOTO;PRB - PRB / PSDC;382
10131;LUCIA ARDUINI;PRB - PRB / PSDC;20
10144;HERÓ BEZERRA;PRB - PRB / PSDC;422
10177;MYRNA KARENINA;PRB - PRB / PSDC;209
10200;RIBAMAR;PRB - PRB / PSDC;91
10222;DAVI;PRB - PRB / PSDC;409
10333;BISPO FRANCISCO DE ASSIS;PRB - PRB / PSDC;5160
10444;PASTOR TARQUINO JOSÉ;PRB - PRB / PSDC;340
10555;KELLY MAIA;PRB - PRB / PSDC;175
10777;IRMÃO JOÃO DA BENÇÃO;PRB - PRB / PSDC;509
10789;JOÃO DA COSTA;PRB - PRB / PSDC;217
10888;CRIS ROCHA;PRB - PRB / PSDC;63
10999;VENINA;PRB - PRB / PSDC;48
11111;VICTOR;PP - PEN / PP;480
11112;JADELSON SALES;PP - PEN / PP;169
11123;WESLEY BISMARK;PP - PEN / PP;170
12000;JUNIOR GRAFITH;PDT - PDT / PMDB / PR / PROS / DEM / PSC;1635
12002;PAULINHA COSTUREIRA;PDT - PDT / PMDB / PR / PROS / DEM / PSC;159
12007;DUCIRENE OLIVEIRA;PDT - PDT / PMDB / PR / PROS / DEM / PSC;72
12012;EIDER ALVES;PDT - PDT / PMDB / PR / PROS / DEM / PSC;189
12100;RODRIGO GOMES;PDT - PDT / PMDB / PR / PROS / DEM / PSC;78
12110;FERNANDO SARAIVA;PDT - PDT / PMDB / PR / PROS / DEM / PSC;312
12111;RANIERE BARBOSA;PDT - PDT / PMDB / PR / PROS / DEM / PSC;10510
12114;NECY TEIXEIRA;PDT - PDT / PMDB / PR / PROS / DEM / PSC;0
12122;VALERIA CAVALCANTI;PDT - PDT / PMDB / PR / PROS / DEM / PSC;714
12123;SÁVIO;PDT - PDT / PMDB / PR / PROS / DEM / PSC;1435
12151;PARDAL;PDT - PDT / PMDB / PR / PROS / DEM / PSC;135
12180;RHANNA DIOGENES;PDT - PDT / PMDB / PR / PROS / DEM / PSC;180
12222;KLEBER FERNANDES;PDT - PDT / PMDB / PR / PROS / DEM / PSC;5061
12300;NIVALDO PAPA;PDT - PDT / PMDB / PR / PROS / DEM / PSC;90
12333;PÚBLIO JOSÉ;PDT - PDT / PMDB / PR / PROS / DEM / PSC;740
12345;AFRANIO AMORIM;PDT - PDT / PMDB / PR / PROS / DEM / PSC;364
12389;JONAS MADRUGA;PDT - PDT / PMDB / PR / PROS / DEM / PSC;42
12444;CHAGAS CATARINO;PDT - PDT / PMDB / PR / PROS / DEM / PSC;4810
12555;LADE DAY;PDT - PDT / PMDB / PR / PROS / DEM / PSC;659
12580;PATRICIA COSTA;PDT - PDT / PMDB / PR / PROS / DEM / PSC;8
12612;ARY GOMES;PDT - PDT / PMDB / PR / PROS / DEM / PSC;3488
12777;JULIA ARRUDA;PDT - PDT / PMDB / PR / PROS / DEM / PSC;5765
12888;WALTER AGRA;PDT - PDT / PMDB / PR / PROS / DEM / PSC;208
12999;ELMA SOUZA;PDT - PDT / PMDB / PR / PROS / DEM / PSC;559
13007;ERIVAN FERNANDES;PT;146
13013;RODRIGO BICO;PT;1782
13100;MILKLEI LEITE;PT;1704
13111;ADAIRTON MEDEIROS;PT;112
13113;FATIMA CARDOSO;PT;2037
13116;YÁ LUCIENE;PT;168
13123;NATALIA BONAVIDES;PT;6202
13131;CHIQUINHO;PT;330
13133;DANIEL LEMOS;PT;305
13221;VALTÉCIA SÁ;PT;57
13222;FERNANDO LUCENA;PT;2495
13223;PROF WALKER FRANCIS;PT;650
13300;MARAVILHOSO;PT;36
13313;PROFESSORA RUTH;PT;196
13333;PROF NILDO;PT;187
13611;HUGO MANSO;PT;1899
13613;DIVANEIDE;PT;2236
13777;IRAN CÉSAR;PT;42
13789;MARQUINHO;PT;1005
13999;PROF ADRIANO BARROS;PT;1611
14000;CÍCERO MARTINS;PTB - PSD / PTB / PSL;3237
14111;SIQUEIRA;PTB - PSD / PTB / PSL;477
14123;SANDEMBERG OLIVEIRA;PTB - PSD / PTB / PSL;204
14222;MÁRIO EMERENCIANO;PTB - PSD / PTB / PSL;1109
14444;ARQUELAUS SÁTIRO;PTB - PSD / PTB / PSL;2159
14555;DOVER GOIS;PTB - PSD / PTB / PSL;213
14567;GRACIELA LANDWOIGT;PTB - PSD / PTB / PSL;87
15000;TERCEIRO DANTAS;PMDB - PDT / PMDB / PR / PROS / DEM / PSC;555
15222;UBALDO FERNANDES;PMDB - PDT / PMDB / PR / PROS / DEM / PSC;7574
