Número;Nome;Partido/Coligação;Votos
12111;RANIERE BARBOSA; PDT / PMDB / PR / PROS / DEM / PSC;10510
16123;AMANDA GURGEL;PSTU;8002
90111;CARLA DICKSON OFTALMOLOGISTA; PDT / PMDB / PR / PROS / DEM / PSC;7924
15222;UBALDO FERNANDES; PDT / PMDB / PR / PROS / DEM / PSC;7574
22607;LUIZ ALMIR; PDT / PMDB / PR / PROS / DEM / PSC;7339
13123;NATALIA BONAVIDES;PT;6202
12777;JULIA ARRUDA; PDT / PMDB / PR / PROS / DEM / PSC;5765
27888;ANA PAULA; PRB / PSDC;5465
10333;BISPO FRANCISCO DE ASSIS; PRB / PSDC;5160
12222;KLEBER FERNANDES; PDT / PMDB / PR / PROS / DEM / PSC;5061
77666;EUDIANE MACEDO;SD;4922
12444;CHAGAS CATARINO; PDT / PMDB / PR / PROS / DEM / PSC;4810
45123;AROLDO ALVES; PSDB / PT do B;4532
70111;WILMA DE FARIA; PSDB / PT do B;4421
51610;PRETO AQUINO; PEN / PP;4206
40200;DR FRANKLIN CAPISTRANO; PSB / PPS;4003
17555;PROFESSORA ELEIKA; PSD / PTB / PSL;3758
50123;SANDRO PIMENTEL;PSOL;3700
14000;CÍCERO MARTINS; PSD / PTB / PSL;3237
55555;NEY LOPES JR; PSD / PTB / PSL;3197
77222;PAULINHO FREIRE;SD;2884
35007;DINARTE TORRES;PMB;2754
19133;ERIKO JÁCOME;PTN;2577
35555;ROBSON CARVALHO;PMB;2565
13222;FERNANDO LUCENA;PT;2495
77555;KLAUS ARAUJO;SD;2279
35678;ALDO CLEMENTE;PMB;2229
44444;CAPITÃO NILO; PRP / PTC / PRTB / PMN;1843
31456;SUELDO MEDEIROS;PHS;1829
