cod_geral;area_geral;cod_especifica;area_especifica;cod_detalhada;area_detalhada;codigo;rotulo
00;Programas básicos;001;Programas básicos;0011;Programas básicos;0011A01;ABI Educação
00;Programas básicos;001;Programas básicos;0011;Programas básicos;0011A02;ABI Artes e humanidades
00;Programas básicos;001;Programas básicos;0011;Programas básicos;0011A03;ABI Ciências sociais, jornalismo e informação
00;Programas básicos;001;Programas básicos;0011;Programas básicos;0011A04;ABI Negócios, administração e direito
00;Programas básicos;001;Programas básicos;0011;Programas básicos;0011A05;ABI Ciências naturais, matemática e estatística
00;Programas básicos;001;Programas básicos;0011;Programas básicos;0011A06;ABI Tecnologias da Informação e Comunicação (TIC)
00;Programas básicos;001;Programas básicos;0011;Programas básicos;0011A07;ABI Engenharia, produção e construção
00;Programas básicos;001;Programas básicos;0011;Programas básicos;0011A08;ABI Agricultura, silvicultura, pesca e veterinária
00;Programas básicos;001;Programas básicos;0011;Programas básicos;0011A09;ABI Saúde e bem-estar
00;Programas básicos;001;Programas básicos;0011;Programas básicos;0011A10;ABI Serviços
01;Educação;011;Educação;0111;Ciência da educação;0111C01;Ciência da educação
01;Educação;011;Educação;0111;Ciência da educação;0111E01;Educação em espaços não escolares
01;Educação;011;Educação;0111;Ciência da educação;0111P01;Processos escolares
01;Educação;011;Educação;0111;Ciência da educação;0111P02;Psicopedagogia
01;Educação;011;Educação;0112;Formação de professores de educação infantil;0112E01;Educação infantil formação de professor
01;Educação;011;Educação;0113;Formação de professores sem áreas específicas;0113E01;Educação do campo formação de professor
01;Educação;011;Educação;0113;Formação de professores sem áreas específicas;0113E02;Educação especial formação de professor
01;Educação;011;Educação;0113;Formação de professores sem áreas específicas;0113E03;Educação indígena formação de professor
01;Educação;011;Educação;0113;Formação de professores sem áreas específicas;0113F01;Formação pedagógica de professor para a educação básica
01;Educação;011;Educação;0113;Formação de professores sem áreas específicas;0113P01;Pedagogia
01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);0114A01;Artes formação de professor
01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);0114A02;Artes visuais formação de professor
01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);0114B01;Biologia formação de professor
01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);0114C01;Ciências agrárias formação de professor
01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);0114C02;Ciências naturais formação de professor
01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);0114C03;Ciências sociais formação de professor
01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);0114C04;Cinema e audiovisual formação de professor
01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);0114C05;Computação formação de professor
01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);0114D01;Dança formação de professor
01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);0114E01;Economia doméstica formação de professor
01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);0114E02;Educação do campo em áreas de conhecimento da educação básica formação de professor
01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);0114E03;Educação física formação de professor
01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);0114E04;Educação indígena em áreas de conhecimento da educação básica formação de professor
01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);0114E05;Enfermagem formação de professor
01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);0114E06;Ensino profissionalizante em área específica formação de professor
01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);0114E07;Ensino religioso formação de professor
01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);0114E08;Estatística formação de professor
01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);0114F01;Filosofia formação de professor
01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);0114F02;Física formação de professor
01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);0114G01;Geografia formação de professor
01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);0114H01;História formação de professor
01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);0114M01;Matemática formação de professor
01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);0114M02;Música formação de professor
01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);0114P01;Psicologia formação de professor
01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);0114Q01;Química formação de professor
01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);0114T01;Teatro formação de professor
01;Educação;011;Educação;0115;Formação de professores de letras;0115L01;Letras espanhol formação de professor
01;Educação;011;Educação;0115;Formação de professores de letras;0115L02;Letras francês formação de professor
01;Educação;011;Educação;0115;Formação de professores de letras;0115L03;Letras inglês formação de professor
01;Educação;011;Educação;0115;Formação de professores de letras;0115L04;Letras língua brasileira de sinais formação de professor
01;Educação;011;Educação;0115;Formação de professores de letras;0115L05;Letras línguas estrangeiras clássicas formação de professor
01;Educação;011;Educação;0115;Formação de professores de letras;0115L06;Letras outras línguas estrangeiras modernas formação de professor
01;Educação;011;Educação;0115;Formação de professores de letras;0115L07;Letras português espanhol formação de professor
01;Educação;011;Educação;0115;Formação de professores de letras;0115L08;Letras português formação de professor
01;Educação;011;Educação;0115;Formação de professores de letras;0115L09;Letras português francês formação de professor
01;Educação;011;Educação;0115;Formação de professores de letras;0115L10;Letras português inglês formação de professor
01;Educação;011;Educação;0115;Formação de professores de letras;0115L11;Letras português língua brasileira de sinais formação de professor
01;Educação;011;Educação;0115;Formação de professores de letras;0115L12;Letras português línguas estrangeiras clássicas formação de professor
01;Educação;011;Educação;0115;Formação de professores de letras;0115L13;Letras português outras línguas estrangeiras modernas formação de professor
01;Educação;011;Educação;0115;Formação de professores de letras;0115L14;Letras tradutor e intérprete formação de professor
01;Educação;018;Programas interdisciplinares abrangendo educação;0188;Programas interdisciplinares abrangendo educação;0188P01;Programas interdisciplinares abrangendo educação
02;Artes e humanidades;021;Artes;0211;Técnicas audiovisuais, produção de mídia e produção cultural;0211A01;Animação
02;Artes e humanidades;021;Artes;0211;Técnicas audiovisuais, produção de mídia e produção cultural;0211C01;Cinema e audiovisual
02;Artes e humanidades;021;Artes;0211;Técnicas audiovisuais, produção de mídia e produção cultural;0211C02;Comunicação assistiva
